travel_id,team_name,group_id,scenario,game_1_stadium_id,game_2_stadium_id,game_3_stadium_id,game_1_stadium,game_2_stadium,game_3_stadium,game_1_to_2_km,game_2_to_3_km,total_km,pair_dist_km
1,Mexico,A,proposed,13,38,13,Estadio Akron,Estadio Corregidora,Estadio Akron,322.8,322.8,645.6,322.8
2,South Africa,A,proposed,13,13,38,Estadio Akron,Estadio Akron,Estadio Corregidora,0.0,322.8,322.8,322.8
3,South Korea,A,proposed,38,38,38,Estadio Corregidora,Estadio Corregidora,Estadio Corregidora,0.0,0.0,0.0,322.8
4,Czechia,A,proposed,38,13,13,Estadio Corregidora,Estadio Akron,Estadio Akron,322.8,0.0,322.8,322.8
5,Canada,B,proposed,3,4,3,BMO Field,Stade Olympique,BMO Field,511.4,511.4,1022.8,511.4
6,Bosnia and Herzegovina,B,proposed,3,3,4,BMO Field,BMO Field,Stade Olympique,0.0,511.4,511.4,511.4
7,Qatar,B,proposed,4,4,4,Stade Olympique,Stade Olympique,Stade Olympique,0.0,0.0,0.0,511.4
8,Switzerland,B,proposed,4,3,3,Stade Olympique,BMO Field,BMO Field,511.4,0.0,511.4,511.4
9,Brazil,C,proposed,25,26,25,Memorial Stadium,Arrowhead Stadium,Memorial Stadium,273.3,273.3,546.5,273.3
10,Morocco,C,proposed,25,25,26,Memorial Stadium,Memorial Stadium,Arrowhead Stadium,0.0,273.3,273.3,273.3
11,Haiti,C,proposed,26,26,26,Arrowhead Stadium,Arrowhead Stadium,Arrowhead Stadium,0.0,0.0,0.0,273.3
12,Scotland,C,proposed,26,25,25,Arrowhead Stadium,Memorial Stadium,Memorial Stadium,273.3,0.0,273.3,273.3
13,USA,D,proposed,27,28,27,Gillette Stadium,Lincoln Financial Field,Gillette Stadium,408.1,408.1,816.2,408.1
14,Paraguay,D,proposed,27,27,28,Gillette Stadium,Gillette Stadium,Lincoln Financial Field,0.0,408.1,408.1,408.1
15,Australia,D,proposed,28,28,28,Lincoln Financial Field,Lincoln Financial Field,Lincoln Financial Field,0.0,0.0,0.0,408.1
16,Türkiye,D,proposed,28,27,27,Lincoln Financial Field,Gillette Stadium,Gillette Stadium,408.1,0.0,408.1,408.1
17,Germany,E,proposed,15,16,15,Michigan Stadium,Ohio Stadium,Michigan Stadium,259.1,259.1,518.1,259.1
18,Curaçao,E,proposed,15,15,16,Michigan Stadium,Michigan Stadium,Ohio Stadium,0.0,259.1,259.1,259.1
19,Ivory Coast,E,proposed,16,16,16,Ohio Stadium,Ohio Stadium,Ohio Stadium,0.0,0.0,0.0,259.1
20,Ecuador,E,proposed,16,15,15,Ohio Stadium,Michigan Stadium,Michigan Stadium,259.1,0.0,259.1,259.1
21,Netherlands,F,proposed,21,22,21,Neyland Stadium,Clemson Memorial Stadium,Neyland Stadium,172.6,172.6,345.1,172.6
22,Japan,F,proposed,21,21,22,Neyland Stadium,Neyland Stadium,Clemson Memorial Stadium,0.0,172.6,172.6,172.6
23,Sweden,F,proposed,22,22,22,Clemson Memorial Stadium,Clemson Memorial Stadium,Clemson Memorial Stadium,0.0,0.0,0.0,172.6
24,Tunisia,F,proposed,22,21,21,Clemson Memorial Stadium,Neyland Stadium,Neyland Stadium,172.6,0.0,172.6,172.6
25,Belgium,G,proposed,20,19,20,NRG Stadium,Tiger Stadium,NRG Stadium,414.8,414.8,829.6,414.8
26,Egypt,G,proposed,20,20,19,NRG Stadium,NRG Stadium,Tiger Stadium,0.0,414.8,414.8,414.8
